n,RowByRow,DivideOnce,DivideAndConquer
3,19,26,17
4,37,44,42
5,61,65,65
6,91,95,89
7,126,120,124
8,166,157,163
9,214,191,201
10,266,236,239
11,327,278,281
12,389,331,322
13,457,377,375
14,537,442,433
15,620,500,495
16,706,568,554
17,801,632,615
18,901,714,677
19,1004,782,742
20,1118,872,811
21,1243,956,884
22,1352,1045,949
23,1476,1133,1024
24,1631,1248,1107
25,1763,1343,1193
26,1915,1455,1280
27,2066,1560,1375
28,2224,1681,1470
29,2389,1795,1568
30,2567,1928,1668
31,2747,2054,1775
32,2917,2179,1873
33,3114,2318,1984
34,3313,2468,2087
35,3517,2611,2205
36,3714,2755,2302
37,3938,2916,2426
38,4156,3072,2539
39,4374,3229,2657
40,4617,3406,2781
41,4844,3564,2902
42,5088,3749,3031
43,5343,3931,3160
44,5604,4120,3289
45,5834,4281,3420
46,6120,4496,3556
47,6408,4687,3704
48,6695,4907,3844
49,6968,5089,3997
50,7286,5312,4155
51,7575,5517,4314
52,7842,5728,4452
53,8189,5962,4640
54,8482,6183,4788
55,8839,6435,4975
56,9147,6662,5125
57,9498,6890,5308
58,9784,7116,5457
59,10164,7388,5663
60,10448,7601,5799
61,10875,7882,6015
62,11201,8131,6173
63,11600,8413,6388
64,11954,8688,6565
65,12350,8941,6764
66,12746,9233,6948
67,13139,9510,7149
68,13547,9810,7328
69,13922,10078,7536
70,14260,10360,7707
71,14753,10667,7939
72,15177,10980,8143
73,15611,11284,8360
74,16053,11612,8552
75,16486,11906,8779
76,16890,12210,8962
77,17391,12548,9212
78,17895,12917,9442
79,18315,13200,9647
80,18757,13509,9842
81,19270,13888,10108
82,19778,14246,10326
83,20257,14584,10577
84,20732,14931,10791
85,21234,15293,11042
86,21751,15668,11276
87,22276,16035,11533
88,22782,16402,11749
89,23351,16774,12036
90,23838,17147,12259
91,24344,17518,12501
92,24954,17959,12780
93,25457,18299,13033
94,26006,18717,13293
95,26574,19109,13560
96,27201,19548,13825
97,27792,19925,14114
98,28264,20343,14346
99,28876,20733,14646
100,29491,21184,14940
101,30086,21606,15224
102,30673,22043,15508
103,31301,22464,15808
104,31892,22893,16079
105,32507,23339,16371
106,33217,23823,16696
107,33809,24241,16978
108,34496,24727,17284
109,35003,25128,17572
110,35760,25639,17922
111,36367,26073,18212
112,37042,26541,18485
113,37766,27042,18848
114,38456,27543,19173
115,39130,28009,19487
116,39837,28563,19811
117,40478,28995,20124
118,41200,29537,20479
119,41870,29987,20796
120,42584,30517,21103
121,43219,30948,21427
122,44021,31553,21792
123,44824,32093,22167
124,45510,32540,22459
125,46211,33141,22838
126,46965,33621,23178
127,47692,34151,23517
128,48534,34773,23885
129,49170,35213,24229
130,49988,35812,24566
131,50733,36301,24914
132,51481,36861,25241
133,52304,37460,25640
134,53031,37957,25985
135,54062,38649,26431
136,54745,39175,26730
137,55568,39701,27107
138,56433,40347,27527
139,57188,40899,27868
140,58121,41547,28272
141,58945,42123,28671
142,59712,42696,29005
143,60597,43339,29416
144,61571,44005,29816
145,62273,44524,30176
146,63221,45156,30616
147,64099,45807,31016
148,64928,46384,31362
149,65916,47107,31816
150,66780,47698,32228
151,67670,48326,32613
152,68617,49016,33036
153,69358,49565,33389
154,70351,50226,33829
155,71172,50792,34203
156,72285,51596,34689
157,72971,52111,35049
158,73960,52847,35477
159,75034,53604,36002
160,75859,54159,36278
161,76875,54853,36751
162,77914,55649,37237
163,79057,56408,37770
164,79974,57014,38147
165,80922,57741,38615
166,81686,58339,38952
167,82517,58903,39343
168,83638,59660,39781
169,84835,60573,40394
170,85681,61172,40747
171,86856,61956,41270
172,87774,62722,41683
173,89101,63560,42303
174,89943,64133,42623
175,90823,64806,43055
176,91924,65664,43539
177,92952,66361,44007
178,94191,67241,44572
179,95168,67917,45020
180,96005,68505,45393
181,97485,69562,46016
182,98357,70185,46405
183,99512,71061,47006
184,100450,71634,47334
185,101773,72638,47994
186,102729,73273,48358
187,103807,74062,48882
188,104966,74946,49332
189,106476,75821,50042
190,107307,76553,50413
191,108136,77256,50775
192,109815,78190,51411
193,110722,78871,51901
194,111768,79671,52374
195,113020,80549,52982
196,114207,81376,53478
197,115352,82226,54081
198,116512,83096,54568
199,117675,83970,55091
200,119036,84784,55651
201,120131,85622,56167
202,121065,86328,56607
203,122538,87312,57256
204,123682,88145,57756
205,124902,89070,58395
206,126214,89955,58909
207,127415,90819,59449
208,128638,91708,59962
209,129730,92499,60505
210,131089,93490,61117
211,132295,94356,61663
212,133774,95207,62261
213,135096,96169,62885
214,136258,97172,63445
215,137575,97993,64018
216,138885,98992,64590
217,140081,99701,65143
218,141421,100774,65721
219,142735,101640,66313
220,144140,102703,66930
221,145311,103475,67453
222,146528,104419,68004
223,148041,105467,68688
224,149269,106279,69144
225,150733,107314,69875
226,151964,108233,70411
227,153203,109216,71018
228,154639,110210,71654
229,156373,111269,72433
230,157403,112083,72861
231,158866,113193,73541
232,159964,113979,74038
233,161555,115150,74764
234,162962,116032,75343
235,164615,117224,76115
236,165792,118069,76650
237,167034,119041,77185
238,168723,120077,77894
239,170531,121360,78728
240,171596,122138,79149
241,173082,123210,79852
242,174247,124106,80386
243,176113,125370,81191
244,177149,126187,81671
245,179167,127489,82591
246,180073,128279,82965
247,181582,129229,83590
248,183072,130368,84281
249,184619,131414,85004
250,186230,132582,85702
251,187523,133543,86354
252,188964,134431,86895
253,190426,135599,87591
254,192076,136883,88373
255,193468,137753,88960
256,195379,139022,89737
257,196985,140259,90498
258,198331,141134,91045
259,199999,142421,91879
260,201251,143230,92303
261,202758,144236,93015
262,205080,145915,94016
263,206046,146704,94475
264,207668,147979,95170
265,209140,148941,95871
266,210732,150073,96548
267,212394,151086,97199
268,213729,152153,97821
269,215719,153482,98713
270,216992,154508,99300
271,219071,155785,100166
272,220600,157077,100851
273,222093,157996,101528
274,223752,159116,102223
275,225184,160330,102958
276,227209,161598,103726
277,228659,162762,104469
278,230561,164037,105171
279,231771,165068,105797
280,233190,165956,106347
281,235339,167487,107358
282,236900,168456,107941
283,238639,169951,108863
284,240840,171219,109730
285,242232,172332,110373
286,244048,173548,111143
287,245784,174760,111872
288,247259,175937,112482
289,248802,177136,113265
290,250761,178441,114137
291,252553,179629,114895
292,253731,180539,115396
293,256015,182103,116368
294,257514,183184,117012
295,259741,184796,118036
296,261302,185937,118640
297,263079,187189,119492
298,264679,188419,120199
299,266600,189582,121044
300,267862,190634,121556
